"node_name","node_id","prod_type","prod_subtype","coal_brand","coal_group","year","prod_capa_Mt","total_cash_cost_ex_transp","c1_cash_cost_ex_transp","price_ex_transp","price_usd_pt","c1cashcost_usd_pt","mining_cost_usd_pt","coal_prep_cost_usd_pt","overhead_cost_usd_pt","port_cost_usd_pt","transp_cost_usd_pt","royalties_usd_pt","CV_cost_premium"
"mine Anhui Generic","mine_idno_1","Metallurgical","SCC","Anhui SCC","SCC",2027,0.48,73.2,67.4,172,174.31274,69.7455858009884,57.0966796630014,6.15351814630682,6.4953879916802,0,0,5.81935,0
"mine Anhui Generic","mine_idno_1","Metallurgical","SCC","Anhui SCC","SCC",2028,0.54,74.7,68.8,175.4,177.79899,71.1404975170083,58.2386132562615,6.27658850923297,6.62529575151382,0,0,5.92394,0
"mine Anhui Generic","mine_idno_1","Metallurgical","SCC","Anhui SCC","SCC",2029,0.6,76.2,70.2,179,181.35497,72.5633074673483,59.4033855213866,6.4021202794176,6.75780166654407,0,0,6.03062,0
"mine Anhui Generic","mine_idno_1","Metallurgical","SCC","Anhui SCC","SCC",2030,0.75,77.8,71.7,182.6,184.98207,74.0145736166953,60.5914532318144,6.53016268500597,6.89295769987496,0,0,6.13943,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2015,0,999,999,0,0,0,999,0,0,0,0,0,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2016,0,999,999,0,0,0,999,0,0,0,0,0,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2017,0,999,999,0,0,0,999,0,0,0,0,0,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2018,0,999,999,0,0,0,999,0,0,0,0,0,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2019,0,999,999,0,0,0,999,0,0,0,0,0,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2020,0,999,999,0,0,0,999,0,0,0,0,0,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2021,0,999,999,0,0,0,999,0,0,0,0,0,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2022,0.9,52.9,50.5,68.6,70.97337,52.8017139981019,44.6406719663317,2.40554682104588,5.75549521072422,0,0,2.41864,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2023,0.9,54.4,52,69.1,71.48184,54.3306893758568,45.9333398931607,2.47520166414124,5.92215852518532,0,0,2.43558,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2024,1.5,56.2,53.8,66.5,68.84985,56.1526090639262,47.4736492891902,2.55821059862699,6.12074917610894,0,0,2.36048,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2025,1.5,57.2,54.9,63.9,66.21786,57.2756612452047,48.423122274974,2.60937481059953,6.24316415963111,0,0,2.28152,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2026,2.4,58.4,56.1,65.2,67.54222,58.4211744701088,49.3915847204735,2.66156230681152,6.36802744282374,0,0,2.32125,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2027,2.4,59.6,57.2,66.5,68.89306,59.5895979595108,50.3794164148829,2.71479355294775,6.4953879916802,0,0,2.36178,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2028,2.7,60.8,58.4,67.9,70.27092,60.7813899187012,51.3870047431806,2.76908942400671,6.62529575151382,0,0,2.40311,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2029,3,62.1,59.6,69.3,71.67634,61.997017717075,52.4147448380441,2.82447121248683,6.75780166654407,0,0,2.44527,0
"mine Anhui Generic","mine_idno_1","Thermal","Bituminous","Anhui 5500","Thermal_5500",2030,3.75,63.4,60.9,70.8,73.10987,63.2369580714166,53.4630397348051,2.88096063673657,6.89295769987496,0,0,2.48828,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2015,16.37,73.3,69.3,109.6,111.93191,71.65982,63.88545,6.42364,8.35073,0,0,4.00032,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2016,16.67,49.2,45.4,106.2,108.51896,47.70731,43.33293,5.80545,5.56893,0,0,3.85762,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2017,10.01,62.6,56.9,166.4,168.76426,59.29043,54.22527,5.70506,6.36009,0,0,5.65456,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2018,10.13,66.6,60.3,188.6,190.90208,62.65206,57.32257,5.83006,6.49943,0,0,6.33166,0
